county,male_ece,female_ece,total_ece,male_pe,female_pe,total_pe,male_jse,female_jse,total_jse,male_sse,female_sse,total_sse,male_ae,female_ae,total_ae,male_tvet,female_tvet,total_tvet
Bomi,0,0,0,537,456,993,148,98,246,0,0,0,0,0,0,0,0,0
Bong,0,0,0,1254,1059,2313,845,779,1624,0,0,0,0,0,0,0,0,0
Gbarpolu,0,0,0,211,134,345,152,78,230,0,0,0,0,0,0,0,0,0
Grand Bassa,0,0,0,1267,1082,2349,683,575,1258,0,0,0,0,0,0,0,0,0
Grand Cape Mount,0,0,0,611,579,1190,288,274,562,0,0,0,0,0,0,0,0,0
Grand Gedeh,0,0,0,774,731,1505,401,323,724,0,0,0,0,0,0,0,0,0
Grand Kru,0,0,0,430,356,786,194,144,338,0,0,0,0,0,0,0,0,0
Lofa,0,0,0,1097,929,2026,569,442,1011,0,0,0,0,0,0,0,0,0
Margibi,0,0,0,2422,2316,4738,1456,1496,2952,0,0,0,0,0,0,0,0,0
Maryland,0,0,0,1227,1123,2350,687,718,1405,0,0,0,0,0,0,0,0,0
Montserrado 1,0,0,0,7564,8607,16171,5204,5637,10841,0,0,0,0,0,0,0,0,0
Montserrado 2,0,0,0,6475,7107,13582,4256,4544,8800,0,0,0,0,0,0,0,0,0
Nimba,0,0,0,2263,2062,4325,1323,1252,2575,0,0,0,0,0,0,0,0,0
River Gee,0,0,0,552,487,1039,201,178,379,0,0,0,0,0,0,0,0,0
Rivercess,0,0,0,398,386,784,63,72,135,0,0,0,0,0,0,0,0,0
Sinoe,0,0,0,811,635,1446,480,368,848,0,0,0,0,0,0,0,0,0
