county,male_ece,female_ece,total_ece,male_pe,female_pe,total_pe,male_jse,female_jse,total_jse,male_sse,female_sse,total_sse,male_ae,female_ae,total_ae,male_tvet,female_tvet,total_tvet
Bomi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gbarpolu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grand Bassa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grand Cape Mount,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grand Gedeh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grand Kru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lofa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Margibi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maryland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montserrado 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montserrado 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nimba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
River Gee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rivercess,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sinoe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
